;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 53: ;11.4;9,38E+14;delegado 53: ;7.2;9,82E+14;delegado 53: ;11.1;9.75E+07;delegado 53: ;3.1;9,25E+14;delegado 53: ;5.3;9,29E+14;delegado 53: ;5.5;9,87E+14;delegado 53: ;4.1;9,99E+14;delegado 53: ;2.2;9,69E+14;delegado 53: ;5.4;1,03E+16
delegado 54: ;11.4;9,78E+14;delegado 54: ;7.2;9,92E+14;delegado 54: ;11.1;1.02E+08;delegado 54: ;3.1;9,55E+14;delegado 54: ;5.3;9,71E+12;delegado 54: ;5.5;1,02E+16;delegado 54: ;4.1;1,01E+16;delegado 54: ;2.2;9,76E+14;delegado 54: ;5.4;1,04E+16
delegado 55: ;19.8;9,44E+14;delegado 55: ;9.4;9,50E+14;delegado 55: ;6.5;9.95E+07;delegado 55: ;3.5;1,16E+16;delegado 55: ;3.8;9,38E+14;delegado 55: ;5.8;1,01E+16;delegado 55: ;4.1;9,34E+14;delegado 55: ;0.3;9,30E+14;delegado 55: ;7.3;1,03E+16
delegado 56: ;19.8;9,40E+14;delegado 56: ;9.4;9,34E+14;delegado 56: ;6.5;9.92E+07;delegado 56: ;3.5;1,12E+16;delegado 56: ;3.8;9,24E+14;delegado 56: ;5.8;9,93E+13;delegado 56: ;4.1;9,88E+14;delegado 56: ;0.3;9,13E+13;delegado 56: ;7.3;1,03E+16
delegado 57: ;19.8;9,46E+14;delegado 57: ;9.4;9,45E+14;delegado 57: ;6.5;9.75E+07;delegado 57: ;3.5;1,08E+16;delegado 57: ;3.8;9,50E+14;delegado 57: ;5.8;9,98E+14;delegado 57: ;4.1;9,53E+14;delegado 57: ;0.3;8,99E+14;delegado 57: ;7.3;1,01E+16
delegado 58: ;20.1;9,37E+14;delegado 58: ;6.2;9,29E+14;delegado 58: ;10.4;9.70E+07;delegado 58: ;5.5;1,03E+16;delegado 58: ;9.4;9,58E+14;delegado 58: ;3.4;9,87E+14;delegado 58: ;3.3;9,56E+14;delegado 58: ;2.4;1,02E+16;delegado 58: ;6.3;1,00E+16
delegado 59: ;20.1;9,02E+14;delegado 59: ;6.2;9,23E+14;delegado 59: ;10.4;9.92E+07;delegado 59: ;5.5;1,20E+16;delegado 59: ;9.4;8,98E+14;delegado 59: ;3.4;9,88E+14;delegado 59: ;3.3;1,05E+16;delegado 59: ;2.4;1,01E+16;delegado 59: ;6.3;9,93E+14
delegado 60: ;20.1;9,03E+13;delegado 60: ;6.2;9,32E+14;delegado 60: ;10.4;9.96E+07;delegado 60: ;5.5;1,02E+16;delegado 60: ;9.4;9,03E+14;delegado 60: ;3.4;9,74E+14;delegado 60: ;3.3;9,11E+14;delegado 60: ;2.4;1,01E+16;delegado 60: ;6.3;9,99E+14
delegado 61: ;5.6;9,05E+14;delegado 61: ;6.9;9,35E+14;delegado 61: ;5.9;9.97E+07;delegado 61: ;4.1;9,38E+14;delegado 61: ;7.6;9,26E+14;delegado 61: ;12.5;9,95E+14;delegado 61: ;2.3;9,53E+14;delegado 61: ;1.7;1,03E+16;delegado 61: ;5.9;1,02E+16
delegado 62: ;5.6;8,93E+14;delegado 62: ;6.9;9,37E+14;delegado 62: ;5.9;9.68E+07;delegado 62: ;4.1;1,08E+16;delegado 62: ;7.6;9,03E+13;delegado 62: ;12.5;9,77E+14;delegado 62: ;2.3;9,61E+14;delegado 62: ;1.7;1,02E+15;delegado 62: ;5.9;9,99E+13
delegado 63: ;5.6;8,85E+14;delegado 63: ;6.9;9,15E+14;delegado 63: ;5.9;9.86E+07;delegado 63: ;4.1;1,06E+16;delegado 63: ;7.6;9,37E+14;delegado 63: ;12.5;9,78E+14;delegado 63: ;2.3;9,80E+14;delegado 63: ;1.7;1,02E+16;delegado 63: ;5.9;9,74E+14
